x,y,z,cluster
0.358,0.049,0.396,0
0.886,0.119,0.428,1
0.094,0.75,0.381,2
0.892,0.241,0.449,1
0.846,0.034,0.644,4
0.701,0.961,0.565,2
0.69,1.007,0.452,2
0.367,0.082,0.353,0
0.896,0.02,0.618,4
0.457,0.728,0.768,2
0.925,0.245,0.513,3
0.061,0.762,0.369,2
0.025,0.759,0.4,2
0.446,0.665,0.885,2
0.748,0.95,0.57,2
0.353,0.066,0.227,0
0.933,0.174,0.484,1
0.519,0.004,0.303,0
0.352,0.057,0.256,0
0.858,0.242,0.458,1
0.875,0.246,0.532,3
0.091,0.806,0.434,2
0.954,0.035,0.671,4
0.934,0.229,0.402,1
0.766,0.966,0.473,2
0.873,0.21,0.423,1
0.973,0.014,0.641,4
0.973,0.197,0.448,1
0.381,0.106,0.316,0
0.48,0.014,0.322,0
0.883,0.204,0.441,1
0.475,0.615,0.827,2
0.99,0.035,0.65,4
0.03,0.794,0.381,2
0.894,0.042,0.634,4
0.539,0.608,0.83,2
0.516,0.068,0.202,0
0.368,0.081,0.296,0
0.936,0.07,0.594,4
0.115,0.781,0.387,2
0.356,0.035,0.268,0
0.78,1.005,0.517,2
0.897,0.008,0.608,4
0.458,0.635,0.861,2
0.667,0.893,0.544,2
0.51,0.074,0.307,0
0.331,0.068,0.247,0
0.914,0.218,0.488,1
0.025,0.753,0.466,2
0.491,0.613,0.763,2
0.944,0.146,0.524,3
0.751,0.981,0.564,2
0.686,1.002,0.58,2
0.869,0.041,0.552,4
0.927,0.079,0.607,4
0.956,0.021,0.616,4
0.316,0.032,0.277,0
0.462,0.119,0.29,0
0.682,0.963,0.52,2
0.514,0.174,0.309,0
0.964,0.005,0.576,4
0.919,0.231,0.488,1
0.735,0.916,0.581,2
0.072,0.795,0.515,2
0.959,0.187,0.44,1
0.911,0.036,0.583,4
0.939,0.018,0.553,4
0.917,0.127,0.582,4
0.66,1.017,0.535,2
0.373,0.116,0.307,0
0.027,0.806,0.467,2
0.726,1.01,0.582,2
0.76,0.914,0.512,2
0.927,0.054,0.675,4
0.932,0.253,0.499,3
0.069,0.882,0.443,2
0.938,0.255,0.514,3
0.67,1,0.535,2
0.958,0.255,0.542,3
0.71,0.998,0.556,2
0.492,0.083,0.266,0
0.351,0.101,0.295,0
0.74,1.022,0.588,2
0.09,0.769,0.463,2
0.681,0.999,0.572,2
1,0.033,0.575,4
0.033,0.705,0.485,2
0.033,0.852,0.397,2
0.515,0.054,0.282,0
0.422,0.031,0.304,0
0.905,0.247,0.437,1
0.403,0.081,0.321,0
0.531,0.114,0.261,0
0.482,0.091,0.286,0
0.501,0.652,0.886,2
0.045,0.758,0.496,2
0.759,0.944,0.438,2
0.908,0.288,0.521,3
0.526,0.028,0.301,0
0.53,0.67,0.775,2
0.9,0.206,0.414,1
0.533,0.079,0.296,0
0.897,0.184,0.419,1
0.983,0.242,0.485,3
0.98,0.29,0.502,3
0.872,0.166,0.378,1
0.931,0.209,0.412,1
0.523,0.631,0.788,2
0.885,0.269,0.514,3
0.07,0.753,0.457,2
0.938,0.256,0.528,3
0.963,0.002,0.555,4
0.937,0.226,0.594,3
0.87,0.051,0.603,4
0.392,0.09,0.352,0
0.062,0.762,0.425,2
0.331,0.112,0.353,0
0.379,0.099,0.294,0
0.926,0.192,0.445,1
0.525,0.065,0.221,0
1.006,0.234,0.6,3
0.837,0.28,0.451,1
0.917,0.241,0.47,1
0.901,0.23,0.444,1
0.434,0.006,0.295,0
0.401,0.12,0.264,0
0.068,0.822,0.442,2
0.475,0.69,0.817,2
0.539,0.718,0.791,2
0.02,0.71,0.424,2
0.381,0.11,0.289,0
0.023,0.706,0.456,2
0.528,0.098,0.177,0
0.709,1.016,0.57,2
0.462,0.689,0.771,2
0.708,0.968,0.572,2
0.903,0.201,0.45,1
0.48,0.71,0.834,2
1.022,0.032,0.647,4
0.986,0.032,0.622,4
0.971,0.002,0.631,4
0.969,0.231,0.562,3
0.36,0.101,0.304,0
0.34,0.04,0.276,0
0.92,0.052,0.639,4
0.862,0.248,0.461,1
0.393,0.132,0.228,0
0.568,0.093,0.259,0
0.951,0.03,0.569,4
0.964,0.205,0.536,3
0.398,0.006,0.276,0
0.857,0.233,0.431,1
0.938,0.024,0.51,4
0.929,0.039,0.569,4
0.695,0.976,0.51,2
0.556,0.693,0.837,2
0.71,0.958,0.518,2
0.491,0.68,0.817,2
0.885,0.227,0.437,1
0.41,0.134,0.285,0
0.113,0.765,0.403,2
0.034,0.816,0.434,2
0.556,0.731,0.826,2
0.845,0.012,0.673,4
0.754,1.008,0.557,2
0.926,0.021,0.641,4
0.773,0.927,0.489,2
0.978,0.006,0.579,4
0.07,0.834,0.488,2
0.408,0.072,0.318,0
0.859,0.231,0.392,1
0.928,0.256,0.486,1
0.735,0.993,0.535,2
0.007,0.798,0.434,2
0.496,0.029,0.267,0
0.405,0.072,0.294,0
0.046,0.735,0.4,2
0.722,0.975,0.519,2
0.936,0.263,0.374,1
0.782,1.03,0.572,2
1.002,0.183,0.531,3
0.7,1.011,0.569,2
0.325,0.003,0.303,0
0.566,0.674,0.873,2
0.995,0.208,0.452,1
0.38,0.067,0.299,0
0.624,0.974,0.508,2
0.929,0.245,0.431,1
0.434,0.114,0.284,0
0.967,0.25,0.589,3
0.411,0.106,0.301,0
0.518,0.077,0.219,0
0.331,0.072,0.332,0
0.694,0.925,0.511,2
0.385,0.07,0.313,0
0.079,0.794,0.439,2
0.044,0.759,0.396,2
0.965,0.236,0.595,3
0.917,0.268,0.488,1
0.891,0.259,0.431,1
0.418,0.042,0.322,0
0.131,0.831,0.445,2
0.079,0.846,0.44,2
0.027,0.861,0.346,2
0.809,1.034,0.595,2
0.487,0.082,0.265,0
0.944,0.092,0.675,4
0.989,0.193,0.567,3
0.973,0.04,0.67,4
0.88,0.274,0.495,1
0.11,0.768,0.331,2
0.907,0.242,0.527,3
0.925,0.036,0.604,4
0.883,0.215,0.557,3
0.769,0.979,0.504,2
1.037,0.017,0.557,4
0.518,0.652,0.817,2
0.961,0.23,0.481,1
0.926,0.288,0.424,1
0.719,1.038,0.534,2
0.717,0.991,0.529,2
0.944,0.232,0.533,3
0.298,0.07,0.193,0
0.729,0.976,0.59,2
0.407,0.117,0.243,0
0.83,0.195,0.5,1
0.491,0.739,0.857,2
