x,y,z,cluster
0.754,0.941,0.486,0
0.741,0.956,0.469,1
0.476,0.034,0.237,2
0.118,0.796,0.435,3
0.467,0.671,0.798,4
0.126,0.732,0.468,3
0.552,0.002,0.24,2
0.07,0.753,0.494,3
0.744,0.901,0.58,0
0.55,0.644,0.778,4
0.493,0.684,0.777,4
0.688,1.005,0.53,1
0.555,0.73,0.781,4
0.124,0.851,0.358,3
0.458,0.066,0.231,2
0.525,0.126,0.287,2
0.417,0.064,0.274,2
0.69,0.902,0.47,0
0.574,0.061,0.368,2
0.13,0.718,0.436,3
0.055,0.803,0.413,3
0.075,0.786,0.448,3
0.433,0.06,0.251,2
0.119,0.817,0.466,3
0.517,0.733,0.741,4
0.374,0.035,0.322,2
0.411,0.076,0.319,2
0.392,0.06,0.242,2
0.502,0.087,0.27,2
0.084,0.796,0.478,3
0.552,0.696,0.818,4
0.366,0.165,0.223,2
0.743,0.99,0.541,1
0.514,0.052,0.196,2
0.588,0.045,0.261,2
0.693,0.958,0.539,0
0.483,0.733,0.823,4
0.414,0.067,0.276,2
0.106,0.839,0.464,3
0.498,0.096,0.313,2
0.492,0.635,0.816,4
0.348,0.057,0.332,2
0.648,0.923,0.505,0
0.433,0.039,0.202,2
0.735,1.054,0.493,1
0.745,0.994,0.51,1
0.735,1.042,0.55,1
0.554,0.612,0.821,4
0.701,0.957,0.476,1
0.412,0.139,0.261,2
0.695,0.917,0.558,0
0.723,1.085,0.543,1
0.507,0.12,0.249,2
0.127,0.724,0.467,3
0.067,0.824,0.516,3
0.532,0.694,0.835,4
0.558,0.098,0.319,2
0.058,0.754,0.458,3
0.114,0.728,0.459,3
0.311,0.051,0.335,2
0.735,0.923,0.511,0
0.127,0.748,0.371,3
0.016,0.727,0.447,3
0.072,0.801,0.399,3
0.777,0.941,0.533,0
0.407,0.038,0.287,2
0.364,0.09,0.273,2
0.105,0.833,0.428,3
0.561,0.08,0.283,2
0.376,0.085,0.27,2
0.372,0.1,0.288,2
0.037,0.816,0.49,3
0.761,0.998,0.55,1
0.517,0.704,0.814,4
0.518,0.673,0.743,4
0.094,0.753,0.493,3
0.507,0.732,0.873,4
0.366,0.103,0.339,2
0.38,0.035,0.237,2
0.336,0.087,0.279,2
0.106,0.785,0.433,3
0.559,0.141,0.347,2
0.142,0.796,0.439,3
0.467,0.103,0.229,2
0.309,0.034,0.314,2
0.704,0.977,0.509,1
0.436,0.119,0.255,2
0.525,0.083,0.269,2
0.535,0.041,0.237,2
0.084,0.79,0.411,3
0.653,0.917,0.543,0
0.401,0.048,0.294,2
0.33,0.097,0.308,2
0.698,0.944,0.552,0
0.466,0.622,0.725,4
0.513,0.073,0.298,2
0.501,0.131,0.219,2
0.388,0.026,0.212,2
0.598,0.735,0.848,4
0.39,0.062,0.254,2
0.716,0.953,0.555,0
0.498,0.117,0.293,2
0.438,0.068,0.333,2
0.546,0.778,0.865,4
0.739,1,0.471,1
0.139,0.793,0.455,3
0.746,0.943,0.513,0
0.476,0.626,0.79,4
0.04,0.838,0.444,3
