x,y,cluster
0.474,0.05,0
0.432,0.741,4
0.271,0.49,2
0.985,0.566,3
0.451,0.685,4
0.519,0.681,4
0.141,0.777,1
0.253,0.544,2
0.035,0.855,1
0.089,0.685,1
0.319,0.506,2
0.148,0.746,1
0.427,0.759,4
0.257,0.485,2
0.986,0.511,3
0.41,0.696,4
0.263,0.551,2
0.922,0.471,3
0.373,0.032,0
0.208,0.515,2
0.463,0.752,4
0.51,0.648,4
1.011,0.558,3
0.431,0.071,0
0.199,0.581,2
1.035,0.585,3
0.528,0.092,0
0.101,0.757,1
0.469,0.712,4
0.509,0.127,0
0.148,0.793,1
0.383,0.769,4
0.489,0.099,0
1.018,0.516,3
0.088,0.803,1
0.978,0.52,3
1.023,0.526,3
1.005,0.559,3
0.074,0.739,1
0.254,0.519,2
0.236,0.449,2
1.026,0.543,3
0.273,0.525,2
0.927,0.61,3
0.056,0.803,1
0.048,0.77,1
0.983,0.567,3
1.02,0.569,3
0.217,0.51,2
0.284,0.598,2
0.514,0.676,4
1.049,0.474,3
0.04,0.705,1
0.401,0.701,4
0.065,0.742,1
0.532,0.08,0
0.431,0.679,4
0.991,0.572,3
0.254,0.54,2
0.062,0.863,1
0.576,0.132,0
0.292,0.538,2
1.029,0.568,3
0.456,0.071,0
0.052,0.834,1
0.952,0.6,3
0.954,0.547,3
0.278,0.502,2
0.5,0.056,0
0.081,0.82,1
0.262,0.492,2
0.473,0.709,4
0.448,0.019,0
0.477,0.092,0
0.379,0.688,4
0.997,0.496,3
0.31,0.507,2
0.557,0.053,0
0.936,0.551,3
0.428,0.72,4
0.532,0.034,0
1.008,0.569,3
0.307,0.503,2
0.507,0.132,0
0.123,0.683,1
0.258,0.545,2
0.296,0.478,2
1.009,0.596,3
0.179,0.509,2
0.258,0.549,2
0.493,0.068,0
0.999,0.55,3
0.481,0.09,0
0.451,0.771,4
0.351,0.514,2
0.978,0.491,3
0.474,0.693,4
0.107,0.786,1
0.26,0.518,2
0.463,0.005,0
0.472,0.004,0
0.262,0.464,2
0.987,0.533,3
0.463,0.036,0
0.975,0.578,3
0.948,0.496,3
0.294,0.495,2
0.099,0.832,1
0.456,0.053,0
0.963,0.573,3
0.096,0.711,1
0.416,0.794,4
0.272,0.498,2
0.968,0.489,3
1.025,0.545,3
0.053,0.789,1
0.088,0.787,1
0.268,0.473,2
0.286,0.493,2
1.012,0.528,3
0.484,0.693,4
0.094,0.856,1
0.006,0.806,1
0.411,0.71,4
0.504,0.704,4
0.983,0.502,3
0.11,0.822,1
0.924,0.529,3
0.921,0.462,3
0.92,0.588,3
0.982,0.564,3
0.522,0.001,0
0.968,0.587,3
0.247,0.458,2
0.369,0.082,0
0.512,0.693,4
0.504,0.06,0
0.985,0.57,3
0.471,0.111,0
0.969,0.501,3
0.109,0.794,1
0.377,0.54,2
0.942,0.511,3
0.963,0.554,3
0.244,0.462,2
0.99,0.557,3
0.255,0.577,2
0.962,0.533,3
0.304,0.59,2
0.242,0.507,2
0.216,0.524,2
0.099,0.699,1
0.44,0.741,4
0.382,0.698,4
0.484,0.039,0
0.466,0.056,0
0.316,0.492,2
0.913,0.503,3
0.074,0.843,1
0.215,0.441,2
0.113,0.768,1
0.256,0.488,2
0.247,0.495,2
1.066,0.508,3
0.937,0.519,3
0.52,0.123,0
0.531,0.017,0
0.27,0.542,2
0.012,0.77,1
0.011,0.809,1
1.043,0.49,3
0.985,0.547,3
0.051,0.779,1
0.169,0.51,2
0.985,0.495,3
0.224,0.529,2
0.104,0.83,1
0.001,0.823,1
0.525,0.097,0
0.029,0.808,1
0.489,0.707,4
0.029,0.77,1
0.251,0.479,2
0.459,0.727,4
0.949,0.54,3
1.005,0.552,3
0.94,0.553,3
0.497,0.043,0
0.959,0.499,3
0.428,0.039,0
0.473,0.037,0
0.007,0.749,1
0.137,0.725,1
0.971,0.509,3
0.483,0.034,0
0.582,0.158,0
0.546,0.071,0
0.503,0.05,0
0.467,0.705,4
0.038,0.77,1
0.49,0.7,4
0.914,0.482,3
0.976,0.57,3
0.084,0.807,1
0.301,0.49,2
0.302,0.503,2
0.283,0.521,2
0.936,0.499,3
0.96,0.487,3
0.988,0.503,3
1.01,0.493,3
0.401,0.654,4
0.241,0.497,2
0.432,0.676,4
0.027,0.74,1
0.975,0.532,3
0.958,0.488,3
0.518,0.106,0
0.128,0.778,1
0.012,0.795,1
0.527,0.128,0
0.181,0.529,2
1.041,0.518,3
0.398,0.73,4
0.393,0.771,4
0.287,0.416,2
0.066,0.845,1
1.029,0.584,3
0.294,0.562,2
0.97,0.522,3
0.368,0.702,4
0.27,0.51,2
0.127,0.787,1
0.967,0.518,3
0.503,0.092,0
0.292,0.46,2
0.947,0.499,3
0.294,0.581,2
0.57,0.765,4
0.347,0.709,4
0.932,0.569,3
0.095,0.864,1
1.046,0.555,3
0.088,0.7,1
0.266,0.48,2
0.259,0.57,2
0.486,0.043,0
0.499,0.115,0
0.536,0.09,0
1.016,0.484,3
0.976,0.585,3
0.141,0.802,1
0.95,0.547,3
0.441,0.057,0
0.003,0.765,1
0.206,0.44,2
0.013,0.813,1
1.038,0.526,3
0.239,0.557,2
0.132,0.756,1
0.287,0.496,2
0.094,0.749,1
0.27,0.502,2
0.049,0.748,1
0.058,0.758,1
0.446,0.724,4
0.531,0.073,0
0.147,0.802,1
0.075,0.76,1
0.559,0.062,0
0.521,0.053,0
0.497,0.018,0
0.968,0.537,3
0.062,0.712,1
0.061,0.763,1
0.547,0.08,0
0.019,0.791,1
0.523,0.124,0
0.261,0.433,2
0.482,0.062,0
0.968,0.524,3
0.461,0.704,4
0.194,0.528,2
0.058,0.755,1
0.1,0.831,1
0.436,0.126,0
0.501,0.078,0
0.474,0.775,4
0.025,0.865,1
0.983,0.482,3
0.329,0.464,2
0.299,0.446,2
0.953,0.533,3
0.942,0.51,3
0.922,0.656,3
0.521,0.078,0
0.284,0.477,2
0.176,0.764,1
0.416,0.675,4
0.436,0.697,4
0.235,0.474,2
0.451,0.758,4
0.447,0.643,4
1.019,0.482,3
0.516,0.074,0
0.433,0.662,4
0.974,0.522,3
0.1,0.827,1
0.48,0.111,0
0.272,0.477,2
0.984,0.532,3
1.005,0.567,3
0.485,0.027,0
1.027,0.503,3
0.054,0.752,1
0.355,0.455,2
0.455,0.715,4
0.227,0.452,2
0.531,0.097,0
0.431,0.74,4
0.494,0.072,0
0.426,0.693,4
0.443,0.099,0
0.233,0.487,2
0.093,0.777,1
0.91,0.515,3
0.961,0.489,3
0.467,0.025,0
0.464,0.751,4
0.303,0.544,2
0.391,0.744,4
0.552,0.092,0
0.301,0.483,2
1.03,0.525,3
0.061,0.804,1
0.333,0.523,2
0.565,0.013,0
0.529,0.746,4
0.437,0.76,4
0.415,0.741,4
0.366,0.719,4
0.419,0.826,4
0.444,0.752,4
0.085,0.771,1
0.92,0.549,3
0.297,0.583,2
0.037,0.839,1
0.482,0.709,4
0.406,0.708,4
0.439,0.691,4
0.085,0.759,1
0.512,0.72,4
0.992,0.576,3
0.239,0.493,2
0.419,0.743,4
0.308,0.451,2
0.496,0.092,0
0.531,0.102,0
0.55,0.045,0
0.141,0.813,1
0.453,0.091,0
0.229,0.556,2
0.462,0.095,0
0.504,0.013,0
0.436,0.667,4
1.014,0.526,3
0.515,0.065,0
0.522,0.154,0
0.529,0.699,4
0.263,0.584,2
0.294,0.517,2
0.397,0.736,4
0.485,0.11,0
0.408,0.754,4
0.467,0.064,0
0.958,0.568,3
1.008,0.549,3
0.163,0.733,1
0.284,0.538,2
0.481,0.65,4
0.977,0.572,3
1.047,0.615,3
0.965,0.565,3
0.246,0.509,2
0.074,0.749,1
0.473,0.026,0
0.959,0.541,3
0.305,0.533,2
0.339,0.495,2
0.273,0.516,2
0.089,0.81,1
0.138,0.735,1
1.02,0.54,3
0.483,0.09,0
0.97,0.472,3
0.058,0.736,1
